                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  3.048,                 5.4962,                 4.1729,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.070208,              0.0033102,              0.0033102
                      1,                 2.8442,                 5.4165,                 3.7781,                0.00331,                0.06692,                0.00221,                0.00101,                      0,                    inf,                      0,               0.040077,               0.006512,               0.006512
                      2,                 2.5272,                 5.3216,                 3.2392,                 0.0016,                0.27538,                0.00676,                0.00286,                      0,                    inf,                      0,              0.0098132,              0.0095818,              0.0095818
                      3,                 2.2331,                  5.004,                 2.8248,                0.72597,                0.04539,                0.04212,                0.01921,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      4,                 1.7683,                 4.3251,                 2.2936,                0.39889,                 0.1675,                0.09741,                0.06375,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      5,                 1.4736,                 3.6914,                 1.9361,                0.26906,                 0.2683,                 0.1629,                0.10668,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                      6,                 1.2593,                 3.2221,                 1.7146,                0.35134,                0.31123,                0.20364,                0.10473,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                      7,                 1.1297,                   2.95,                 1.5766,                 0.3136,                0.36928,                0.26777,                0.19342,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                      8,                 1.0381,                 2.7327,                 1.4782,                0.44674,                0.37607,                0.30669,                0.23012,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                      9,                0.98078,                 2.5532,                 1.4245,                0.48085,                 0.3729,                0.34583,                0.26542,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     10,                0.93807,                 2.4451,                 1.3899,                0.28352,                0.55009,                0.41069,                0.32412,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     11,                0.89506,                 2.3165,                 1.3554,                0.36345,                0.46065,                0.40409,                0.31449,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     12,                 0.8739,                 2.1945,                 1.3308,                0.36929,                0.57624,                0.48931,                0.40049,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     13,                0.84603,                  2.085,                 1.3017,                 0.3271,                0.64223,                0.51557,                 0.4241,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     14,                0.82131,                 2.0128,                 1.2832,                0.39214,                0.60959,                0.52896,                0.44052,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     15,                0.79673,                 1.9357,                 1.2694,                0.46463,                0.62108,                0.58773,                0.49461,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     16,                0.79478,                 1.8711,                 1.2606,                0.55516,                  0.641,                0.64898,                0.53606,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     17,                0.77151,                 1.8138,                 1.2504,                0.45555,                0.64672,                0.61214,                0.50813,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     18,                0.75701,                 1.7437,                 1.2314,                0.56225,                0.71661,                0.69444,                0.58983,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                     19,                0.74424,                 1.6752,                 1.2253,                0.52765,                0.77082,                0.70327,                0.59925,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     20,                0.73512,                 1.6544,                 1.2228,                0.63744,                0.70944,                0.72664,                0.62016,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     21,                0.73325,                 1.6155,                  1.227,                0.70669,                0.65892,                 0.7507,                0.64108,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     22,                0.71056,                 1.5739,                 1.2045,                0.65533,                0.67098,                0.75966,                0.65129,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     23,                0.71527,                 1.5194,                 1.2049,                0.68306,                  0.747,                0.79557,                0.68743,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     24,                0.69631,                 1.4982,                 1.1926,                0.64428,                 0.7806,                 0.7893,                0.68809,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     25,                0.69712,                 1.4568,                 1.1815,                0.68993,                0.76898,                0.81254,                0.70195,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     26,                0.68228,                  1.414,                 1.1862,                0.70993,                0.78858,                 0.8204,                0.71675,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     27,                0.65907,                 1.3861,                 1.1659,                0.75055,                0.75372,                0.81858,                0.71363,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     28,                0.67388,                 1.3688,                  1.176,                0.71026,                0.80902,                0.84358,                0.73077,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     29,                0.67066,                 1.3326,                  1.174,                0.74229,                0.85047,                 0.8685,                0.76083,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     30,                0.64613,                 1.2717,                 1.1567,                0.73485,                0.79718,                0.85103,                 0.7447,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                     31,                0.64762,                 1.2581,                 1.1561,                0.70819,                0.82075,                0.85971,                0.75126,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     32,                0.63608,                 1.2621,                 1.1503,                0.74347,                0.83732,                0.86445,                0.75036,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                     33,                0.63321,                 1.2275,                 1.1452,                0.78359,                0.80353,                0.87273,                 0.7682,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     34,                0.61715,                 1.1931,                 1.1439,                0.74946,                0.85606,                0.88046,                0.77284,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                     35,                0.63218,                 1.1935,                 1.1464,                0.76053,                0.85161,                0.88153,                0.78243,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     36,                0.61489,                 1.1621,                 1.1396,                0.80021,                0.84153,                0.88802,                0.78729,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     37,                0.62136,                 1.1768,                 1.1375,                0.73257,                0.90496,                0.90689,                0.80561,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     38,                0.61338,                 1.1519,                 1.1385,                0.82922,                0.83886,                0.91666,                0.82082,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     39,                0.59813,                 1.1081,                 1.1254,                0.81447,                0.86761,                 0.9205,                0.82211,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     40,                0.46166,                0.71721,                 1.0938,                0.76894,                0.89388,                0.91502,                0.81129,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                     41,                0.44327,                0.66078,                 1.0757,                0.81767,                0.87724,                0.92835,                0.82526,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     42,                0.43525,                0.60479,                 1.0752,                0.81519,                0.88387,                0.91576,                0.81935,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                     43,                0.42554,                0.59609,                 1.0601,                0.81562,                0.88905,                0.92143,                0.82056,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     44,                0.42215,                0.57754,                 1.0621,                0.87349,                0.84825,                0.92418,                0.82717,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
